Item,Mins,Secs,Bonus,Effect,Total Sec,Bonus * Total Sec,Type
'Apple' Cake of Lost Souls,10,00,6226,% Flora Analysis Rewards,600,"3,735,600",Edible Product
'Apple' Curiosity,10,00,6537,% Flora Analysis Rewards,600,"3,922,200",Edible Product
'Apple' Ice Cream,10,00,59,% Cold Resistance,600,"35,400",Edible Product
'Apple' Roll,06,36,42,% Sprint Distance,396,"16,632",Edible Product
'Legs-in-Pastry',10,00,6,% Sprint Recovery Time,600,"3,600",Edible Product
Aberrant Duskfin,03,30,2515,% Fauna Analysis Rewards,210,"528,150",Fish
Abyssal Crab,03,00,34,% Breathing Efficiency,180,"6,120",Fish
Abyssal Horror Egg,03,00,2214,% Fauna Analysis Rewards,180,"398,520",Fish
Abyssal Stew,10,00,2,Words Translated,600,"1,200",Edible Product
Acidic Pufferfish,01,30,25,% Breathing Efficiency,90,"2,250",Fish
All-Seeing Worm,01,00,24,% Breathing Efficiency,60,"1,440",Fish
Aloe Flesh,02,30,24,% Heat Resistance,150,"3,600",Raw Ingredient
Alpha Squid,03,30,33,% Breathing Efficiency,210,"6,930",Fish
Ambrosial Curse,10,00,6523,% Fauna Analysis Rewards,600,"3,913,800",Edible Product
Ambrosial Wonder,10,00,6293,% Mineral Analysis Rewards,600,"3,775,800",Edible Product
Ancient Irontail,03,53,2800,% Fauna Analysis Rewards,233,"652,400",Fish
Anemone Anomaly,01,00,31,% Breathing Efficiency,60,"1,860",Fish
Angelic Fruitcake,10,00,6205,% Mineral Analysis Rewards,600,"3,723,000",Edible Product
Anomalous Doughnut,10,00,6443,% Fauna Analysis Rewards,600,"3,865,800",Edible Product
Anomalous Jam,08,00,49,% Sprint Distance,480,"23,520",Edible Product
Anomalous Tart,10,00,54,% Resources Mined,600,"32,400",Edible Product
Appalling Jam Sponge,10,00,6564,% Flora Analysis Rewards,600,"3,938,400",Edible Product
Ash Snail,00,30,29,% Breathing Efficiency,30,870,Fish
Atlantidian Crab,03,30,2607,% Fauna Analysis Rewards,210,"547,470",Fish
Aurora Jellyfish,00,30,26,% Breathing Efficiency,30,780,Fish
Baked Anomaly,06,36,2,Words Translated,396,792,Edible Product
Baked Cheese Tart,10,00,30,% Hazard Protection Battery,600,"18,000",Edible Product
Basalt-Tooth Bloater,02,00,35,% Breathing Efficiency,120,"4,200",Fish
Bewitching Candlefish,03,00,28,% Breathing Efficiency,180,"5,040",Fish
Bileworm,00,30,25,% Breathing Efficiency,30,750,Fish
